Item,Volts,Prop,Throttle,Amps,Watts,Thrust,RPM,Efficiency
U8KV170,22.2,2685,50%,4.4,97,1420,1700,14.64
U8KV170,22.2,2685,65%,7.9,176,2220,2100,12.61
U8KV170,22.2,2685,75%,10.6,236,2780,2300,11.78
U8KV170,22.2,2685,85%,14.1,314,3400,2550,10.83
U8KV170,22.2,2685,100%,17.1,370,3880,2700,10.49
U8KV170,22.2,2788,50%,4.9,110,1590,1650,14.45
U8KV170,22.2,2788,65%,9,204,2510,2050,12.3
U8KV170,22.2,2788,75%,12.1,269,3110,2250,11.56
U8KV170,22.2,2788,85%,15.7,348,3740,2450,10.75
U8KV170,22.2,2788,100%,19,411,4140,2620,10.07
U8KV170,22.2,2892,50%,5.5,123,1820,1600,14.8
U8KV170,22.2,2892,65%,10.2,229,2800,2000,12.23
U8KV170,22.2,2892,75%,13.7,300,3460,2200,11.53
U8KV170,22.2,2892,85%,17.8,388,4160,2400,10.72
U8KV170,22.2,2892,100%,21.7,461,4590,2540,9.96
U8KV170,22.2,2995,50%,6,134,1930,1560,14.4
U8KV170,22.2,2995,65%,11.2,250,3040,1900,12.16
U8KV170,22.2,2995,75%,15.1,330,3660,2080,11.09
U8KV170,22.2,2995,85%,19.5,420,4330,2300,10.31
U8KV170,22.2,2995,100%,23.8,507,4920,2460,9.7
U8KV170,44.4,1860,50%,3.8,171,1630,3750,9.53
U8KV170,44.4,1860,65%,6.1,272,2320,4400,8.53
U8KV170,44.4,1860,75%,8.1,370,2910,4900,7.86
U8KV170,44.4,1860,85%,10.3,457,3320,5400,7.26
U8KV170,44.4,1860,100%,14.2,630,4380,6000,6.95
U8KV170,44.4,2060,50%,4.4,197,1850,3550,9.39
U8KV170,44.4,2060,65%,7,317,2630,4250,8.3
U8KV170,44.4,2060,75%,9.8,444,3390,4800,7.64
U8KV170,44.4,2060,85%,12.4,556,3960,5200,7.12
U8KV170,44.4,2060,100%,17.3,773,5150,5800,6.66
U8KV170,44.4,2260,50%,5.4,240,2250,3350,9.38
U8KV170,44.4,2260,65%,9.9,441,3640,4100,8.25
U8KV170,44.4,2260,75%,13.5,604,4630,4500,7.67
U8KV170,44.4,2260,85%,18.1,810,5500,4900,6.79
U8KV170,44.4,2260,100%,24.9,1047,6780,5550,6.48
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
