Item,Volts,Prop,Throttle,Amps,Watts,Thrust,RPM,Efficiency
U8KV135,22.2,2685,50%,2.3,52,980,1400,18.85
U8KV135,22.2,2685,65%,4.2,93,1530,1700,16.45
U8KV135,22.2,2685,75%,5.6,125,1830,1930,14.64
U8KV135,22.2,2685,85%,7.5,165,2230,2130,13.52
U8KV135,22.2,2685,100%,10.2,224,2720,2365,12.14
U8KV135,22.2,2788,50%,2.6,57,1040,1350,18.25
U8KV135,22.2,2788,65%,4.8,107,1690,1700,15.79
U8KV135,22.2,2788,75%,6.6,145,2080,1900,14.34
U8KV135,22.2,2788,85%,8.2,181,2400,2070,13.26
U8KV135,22.2,2788,100%,11.2,246,2960,2300,12.03
U8KV135,22.2,2892,50%,3,65,1100,1300,16.92
U8KV135,22.2,2892,65%,5.6,123,1850,1675,15.04
U8KV135,22.2,2892,75%,7.5,166,2140,1860,12.89
U8KV135,22.2,2892,85%,9.5,210,2700,2030,12.86
U8KV135,22.2,2892,100%,13.1,287,3270,2250,11.39
U8KV135,22.2,2995,50%,3.2,70,1330,1300,19
U8KV135,22.2,2995,65%,6.2,136,2000,1630,14.71
U8KV135,22.2,2995,75%,8.3,185,2500,1820,13.51
U8KV135,22.2,2995,85%,10.6,235,2890,2000,12.3
U8KV135,22.2,2995,100%,14.1,311,3580,2200,11.51
U8KV135,44.4,1860,50%,2.2,98,1080,3200,11.02
U8KV135,44.4,1860,65%,3.2,142,1410,3600,9.93
U8KV135,44.4,1860,75%,4.4,195,1840,4100,9.44
U8KV135,44.4,1860,85%,5.7,250,2190,4500,8.76
U8KV135,44.4,1860,100%,7.5,335,2750,5000,8.21
U8KV135,44.4,2060,50%,2.5,110,1220,3000,11.09
U8KV135,44.4,2060,65%,3.9,170,1690,3500,9.94
U8KV135,44.4,2060,75%,5.5,242,2260,4000,9.34
U8KV135,44.4,2060,85%,7.3,320,2720,4400,8.5
U8KV135,44.4,2060,100%,9.8,427,3430,4900,8.03
U8KV135,44.4,2260,50%,3.2,140,1690,2700,12.07
U8KV135,44.4,2260,65%,5.5,240,2420,3350,10.08
U8KV135,44.4,2260,75%,7.7,340,3190,3800,9.38
U8KV135,44.4,2260,85%,10.2,450,3760,4200,8.36
U8KV135,44.4,2260,100%,14,616,4700,4500,7.63
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
