Motor,Voltage,Propeller,Throttle,Amps,Watts,Thrust,RPM,Efficiency
TMotorMN5212KV340,22.2,1861,50%,5.7,137.5,1318,3596,9.58
TMotorMN5212KV340,22.2,1861,55%,7.4,178.1,1612,3958,9.05
TMotorMN5212KV340,22.2,1861,60%,9.3,222,1901,4310,8.56
TMotorMN5212KV340,22.2,1861,65%,11.6,278.2,2259,4622,8.12
TMotorMN5212KV340,22.2,1861,75%,16.5,395.5,2835,5226,7.17
TMotorMN5212KV340,22.2,1861,85%,22.1,531.1,3477,5751,6.55
TMotorMN5212KV340,22.2,1861,100%,31,744.7,4355,6358,5.85
